CODIGO,NOME,DOCUMENTO,CEP,CPF_SOCIO
33408147688617,Dra. Clarice Cirino,68940721000115,39662319,46590273847
50521454038147,Raul Nogueira,12903458000130,06867905,93845062142
50521454038147,Raul Nogueira,12903458000130,06867905,85739604265
50521454038147,Raul Nogueira,12903458000130,06867905,78263015480
12217162158726,Emanuella Freitas,59184732000121,04992472,40651273943
12217162158726,Emanuella Freitas,59184732000121,04992472,10937546801
41606294211269,Guilherme das Neves,93247108000164,93308460,49031728560
41606294211269,Guilherme das Neves,93247108000164,93308460,62085137407
22738617521433,Sr. Levi Alves,59604327000115,87120810,69538210786
22738617521433,Sr. Levi Alves,59604327000115,87120810,75693184048
23672467853465,Josué Cassiano,95683021000165,14062538,81964702313
23672467853465,Josué Cassiano,95683021000165,14062538,14623980570
23672467853465,Josué Cassiano,95683021000165,14062538,18650237959
20953642749191,Dr. Joaquim da Luz,53792064000139,97024357,12586470362
20953642749191,Dr. Joaquim da Luz,53792064000139,97024357,96840352170
20953642749191,Dr. Joaquim da Luz,53792064000139,97024357,38207946547
74931404117305,Dra. Maria Isis Silva,26879143000109,61398945,37860451948
74931404117305,Dra. Maria Isis Silva,26879143000109,61398945,15860293470
74931404117305,Dra. Maria Isis Silva,26879143000109,61398945,78460912558
29811526649004,Rafaela Cavalcanti,03468275000142,69486174,23960754892
29811526649004,Rafaela Cavalcanti,03468275000142,69486174,14065329752
29811526649004,Rafaela Cavalcanti,03468275000142,69486174,34609175207
50753155960621,Antônio Gonçalves,84165273000186,91225285,01987632559
50753155960621,Antônio Gonçalves,84165273000186,91225285,62719580449
84946261577245,Stella Fonseca,07291856000102,55523485,93548602738
84946261577245,Stella Fonseca,07291856000102,55523485,93825476146
86982863078325,Davi Luiz Aparecida,94276835000112,06323284,87092341604
86982863078325,Davi Luiz Aparecida,94276835000112,06323284,42386710580
63670153807391,Yasmin Porto,30794152000174,17004963,78910524332
63670153807391,Yasmin Porto,30794152000174,17004963,48690257365
78804180430886,Mariah Peixoto,53682470000149,57649621,53097164243
78804180430886,Mariah Peixoto,53682470000149,57649621,36291045842
93637303535597,Davi Luiz Rocha,24170963000100,04448941,09124376507
93637303535597,Davi Luiz Rocha,24170963000100,04448941,37156029452
93637303535597,Davi Luiz Rocha,24170963000100,04448941,62135498700
93637303535597,Davi Luiz Rocha,24170963000100,04448941,21034965824
10602356392903,Manuella Peixoto,19876034000172,45675069,18602539703
10602356392903,Manuella Peixoto,19876034000172,45675069,60951278401
76083024523187,Alana Correia,08795143000149,37904231,92548167364
76083024523187,Alana Correia,08795143000149,37904231,18269075485
79024356151650,João da Conceição,98241356000111,03296176,29471035805
79024356151650,João da Conceição,98241356000111,03296176,02354187904
43814592266535,Maria Alice Fogaça,72513064000105,84331614,98571430241
43814592266535,Maria Alice Fogaça,72513064000105,84331614,47319208504
43814592266535,Maria Alice Fogaça,72513064000105,84331614,36014792570
69631516152542,Fernanda Vieira,92470318000154,80890919,60357829140
69631516152542,Fernanda Vieira,92470318000154,80890919,56098432783
57846477435329,Luigi Silveira,31870596000104,76579840,13507698439
57846477435329,Luigi Silveira,31870596000104,76579840,73285601426
60448888687575,Ana Cecília Melo,02614837000156,44629683,61057823490
60448888687575,Ana Cecília Melo,02614837000156,44629683,94532167809
60448888687575,Ana Cecília Melo,02614837000156,44629683,75396482109
60448888687575,Ana Cecília Melo,02614837000156,44629683,27056819494
60448888687575,Ana Cecília Melo,02614837000156,44629683,41638072922
53229188089583,Leandro Fogaça,93056427000192,24601202,91276450370
53229188089583,Leandro Fogaça,93056427000192,24601202,51689734264
53229188089583,Leandro Fogaça,93056427000192,24601202,75048936256
53229188089583,Leandro Fogaça,93056427000192,24601202,17402863913
53229188089583,Leandro Fogaça,93056427000192,24601202,75039142897
82158579568150,Milena da Cunha,17065384000123,03014403,86170459220
82158579568150,Milena da Cunha,17065384000123,03014403,85197420685
82158579568150,Milena da Cunha,17065384000123,03014403,53840917620
60976008687707,Vitor Guerra,23498051000190,01081171,32965014799
60976008687707,Vitor Guerra,23498051000190,01081171,29683170595
60976008687707,Vitor Guerra,23498051000190,01081171,32957468000
60976008687707,Vitor Guerra,23498051000190,01081171,96507382400
60976008687707,Vitor Guerra,23498051000190,01081171,04583271905
60976008687707,Vitor Guerra,23498051000190,01081171,02341579841
60976008687707,Vitor Guerra,23498051000190,01081171,42536801780
70732734081255,Sra. Cecília Araújo,38765402000150,98462332,02983514714
70732734081255,Sra. Cecília Araújo,38765402000150,98462332,13028579677
77592631539174,Raul Silveira,36827950000131,52786143,10269843787
77592631539174,Raul Silveira,36827950000131,52786143,47596128319
79768204949810,Ana Beatriz Silva,68320471000110,19390802,21380945704
79768204949810,Ana Beatriz Silva,68320471000110,19390802,87092341604
79768204949810,Ana Beatriz Silva,68320471000110,19390802,30458679283
71258516660921,Sr. Thomas Caldeira,86517943000101,75429915,87643905193
71258516660921,Sr. Thomas Caldeira,86517943000101,75429915,64320857135
71258516660921,Sr. Thomas Caldeira,86517943000101,75429915,29136470570
71258516660921,Sr. Thomas Caldeira,86517943000101,75429915,43097265180
22531670050220,Sophia Dias,16052938000195,54314296,81964702313
22531670050220,Sophia Dias,16052938000195,54314296,19457286391
80770956356640,Srta. Laís Silva,50637192000110,88845661,65219307452
80770956356640,Srta. Laís Silva,50637192000110,88845661,26308459747
80770956356640,Srta. Laís Silva,50637192000110,88845661,51763402916
80770956356640,Srta. Laís Silva,50637192000110,88845661,70253819695
80770956356640,Srta. Laís Silva,50637192000110,88845661,61057823490
80770956356640,Srta. Laís Silva,50637192000110,88845661,71435028988
89106220072383,Sophia Lima,63204859000132,94909598,37860294150
89106220072383,Sophia Lima,63204859000132,94909598,24607351970
89106220072383,Sophia Lima,63204859000132,94909598,93756240800
89106220072383,Sophia Lima,63204859000132,94909598,39482107640
39608581652709,João Miguel Sá,54126387000156,06110945,86702543956
39608581652709,João Miguel Sá,54126387000156,06110945,86701352480
39608581652709,João Miguel Sá,54126387000156,06110945,25901346815
22626467822337,Dr. Ravi Fogaça,26745980000145,02666714,96842531098
22626467822337,Dr. Ravi Fogaça,26745980000145,02666714,85197420685
74600617670746,Melissa Cunha,20793815000182,65637300,83619504270
74600617670746,Melissa Cunha,20793815000182,65637300,21736059840
83437850770847,Liz da Cunha,31075896000100,69425403,90154268305
83437850770847,Liz da Cunha,31075896000100,69425403,12473085617
83437850770847,Liz da Cunha,31075896000100,69425403,01794536884
83437850770847,Liz da Cunha,31075896000100,69425403,76580324929
83437850770847,Liz da Cunha,31075896000100,69425403,58312407979
94768172270013,Dr. Davi Lucca da Paz,71254398000130,23978993,78460912558
94768172270013,Dr. Davi Lucca da Paz,71254398000130,23978993,79413852600
94768172270013,Dr. Davi Lucca da Paz,71254398000130,23978993,29430718622
27816914738157,Isabelly Rocha,04297356000190,44772171,06329541752
27816914738157,Isabelly Rocha,04297356000190,44772171,08924563106
18093600896599,Valentim Oliveira,49578623000135,40543809,84072196304
18093600896599,Valentim Oliveira,49578623000135,40543809,75213480950
75971435936854,Luiz Henrique Oliveira,04695287000172,25544671,79326504107
75971435936854,Luiz Henrique Oliveira,04695287000172,25544671,84035962198
75971435936854,Luiz Henrique Oliveira,04695287000172,25544671,75830142988
92623522510592,Júlia Nogueira,79182650000155,27980589,23461907804
92623522510592,Júlia Nogueira,79182650000155,27980589,39512674882
92623522510592,Júlia Nogueira,79182650000155,27980589,54290678300
92623522510592,Júlia Nogueira,79182650000155,27980589,92435701616
92623522510592,Júlia Nogueira,79182650000155,27980589,57941360810
81458997599268,Luísa Mendonça,48673029000160,17800602,32186907496
81458997599268,Luísa Mendonça,48673029000160,17800602,38950127423
81458997599268,Luísa Mendonça,48673029000160,17800602,94730156820
81458997599268,Luísa Mendonça,48673029000160,17800602,90157648320
81458997599268,Luísa Mendonça,48673029000160,17800602,14902876558
20682270632594,Maria Flor Moreira,13465879000199,95096156,53028679400
20682270632594,Maria Flor Moreira,13465879000199,95096156,62594108324
95118516803914,Matteo Cunha,91458620000124,45956420,57126489030
95118516803914,Matteo Cunha,91458620000124,45956420,31950268489
52555945033575,Henrique Costela,63025741000147,05236299,46198025306
52555945033575,Henrique Costela,63025741000147,05236299,16378954020
52555945033575,Henrique Costela,63025741000147,05236299,69437580120
53855607969782,João Felipe Leão,60547982000168,55489013,23684915700
53855607969782,João Felipe Leão,60547982000168,55489013,75142936809
56769665091494,Sra. Emanuelly Lima,86237915000130,62385705,29465173061
56769665091494,Sra. Emanuelly Lima,86237915000130,62385705,76025148902
56769665091494,Sra. Emanuelly Lima,86237915000130,62385705,07259863447
56769665091494,Sra. Emanuelly Lima,86237915000130,62385705,71396428500
56769665091494,Sra. Emanuelly Lima,86237915000130,62385705,23856017453
56769665091494,Sra. Emanuelly Lima,86237915000130,62385705,97213046543
56769665091494,Sra. Emanuelly Lima,86237915000130,62385705,25813469060
56769665091494,Sra. Emanuelly Lima,86237915000130,62385705,24957083150
41249207547975,Augusto Fonseca,93781024000106,77338791,27054398629
41249207547975,Augusto Fonseca,93781024000106,77338791,46129578300
55560411850483,Fernando Fonseca,24783561000172,21531291,78250941314
55560411850483,Fernando Fonseca,24783561000172,21531291,35890124714
55560411850483,Fernando Fonseca,24783561000172,21531291,25139764873
55560411850483,Fernando Fonseca,24783561000172,21531291,50489136710
55560411850483,Fernando Fonseca,24783561000172,21531291,02348675153
30575681624809,Caio Albuquerque,47156890000199,48868293,96830247187
30575681624809,Caio Albuquerque,47156890000199,48868293,41857023960
46092124673991,Davi Luiz Nascimento,69407132000139,99578586,81574629085
46092124673991,Davi Luiz Nascimento,69407132000139,99578586,19073568277
46092124673991,Davi Luiz Nascimento,69407132000139,99578586,80437562107
46092124673991,Davi Luiz Nascimento,69407132000139,99578586,03648519298
12557105473180,Anna Liz Vieira,60437985000149,72316706,10298356406
12557105473180,Anna Liz Vieira,60437985000149,72316706,47216985001
74305810095193,Olivia Azevedo,46591023000119,61259833,90258431660
74305810095193,Olivia Azevedo,46591023000119,61259833,68419270369
38188706520609,Thomas Campos,28641597000172,96880813,03957142652
38188706520609,Thomas Campos,28641597000172,96880813,43097265180
31092591377516,Lucas Moura,34901287000142,60364633,68209573438
31092591377516,Lucas Moura,34901287000142,60364633,17439268555
31092591377516,Lucas Moura,34901287000142,60364633,53984207123
96183549392036,Dra. Anna Liz Rocha,18570264000146,65978884,72056839474
96183549392036,Dra. Anna Liz Rocha,18570264000146,65978884,52198743655
70848083994996,Luan Andrade,54192873000172,74475917,08714963566
70848083994996,Luan Andrade,54192873000172,74475917,78326491519
72890920866915,Gabriel da Cunha,19054273000147,96051498,06794518201
72890920866915,Gabriel da Cunha,19054273000147,96051498,26917438537
72890920866915,Gabriel da Cunha,19054273000147,96051498,19326748537
72890920866915,Gabriel da Cunha,19054273000147,96051498,40293165734
11156662518618,Aylla Azevedo,17046935000101,81534075,60951374893
11156662518618,Aylla Azevedo,17046935000101,81534075,50647328135
11156662518618,Aylla Azevedo,17046935000101,81534075,13625809451
78225384460874,Rafaela Cardoso,94250183000147,07055615,34970628556
78225384460874,Rafaela Cardoso,94250183000147,07055615,40162985711
35615109681424,Pedro Lucas Oliveira,13856204000170,33953038,21370645880
35615109681424,Pedro Lucas Oliveira,13856204000170,33953038,15679420830
68418185419779,Sr. Gustavo Henrique das Neves,37590421000120,00255535,94167582309
68418185419779,Sr. Gustavo Henrique das Neves,37590421000120,00255535,89635407238
68418185419779,Sr. Gustavo Henrique das Neves,37590421000120,00255535,90275134652
26675649914023,João Lucas Borges,52104879000115,50393273,90851762476
26675649914023,João Lucas Borges,52104879000115,50393273,81475269382
75990922757950,Sr. Marcelo Cunha,05312679000178,78933750,21380945704
75990922757950,Sr. Marcelo Cunha,05312679000178,78933750,78460912558
75990922757950,Sr. Marcelo Cunha,05312679000178,78933750,07258943188
75990922757950,Sr. Marcelo Cunha,05312679000178,78933750,63429107822
75990922757950,Sr. Marcelo Cunha,05312679000178,78933750,58421973673
75990922757950,Sr. Marcelo Cunha,05312679000178,78933750,79802364592
85831338551552,Eloá Camargo,53698720000139,52350370,79568234128
85831338551552,Eloá Camargo,53698720000139,52350370,37042896122
20635400137457,Maria Laura Viana,70863541000129,81134097,81570349657
20635400137457,Maria Laura Viana,70863541000129,81134097,10459263706
70818704108055,Sr. Oliver Mendonça,81957026000124,27205476,48261057976
70818704108055,Sr. Oliver Mendonça,81957026000124,27205476,07489162530
70684024665119,Eduarda da Rosa,16098534000132,77611452,25173480904
70684024665119,Eduarda da Rosa,16098534000132,77611452,60395714893
70684024665119,Eduarda da Rosa,16098534000132,77611452,67148239087
52207678825858,Ana Vitória Moreira,10367829000180,88834508,25791608411
52207678825858,Ana Vitória Moreira,10367829000180,88834508,80537296140
55534754140108,Lara Oliveira,75218096000168,69802219,49326780538
55534754140108,Lara Oliveira,75218096000168,69802219,04867259365
55534754140108,Lara Oliveira,75218096000168,69802219,98532710441
55534754140108,Lara Oliveira,75218096000168,69802219,29136470570
82690998072607,Maria Cecília Pereira,03981547000103,28297023,08536742135
82690998072607,Maria Cecília Pereira,03981547000103,28297023,95437012616
82690998072607,Maria Cecília Pereira,03981547000103,28297023,43601927543
82690998072607,Maria Cecília Pereira,03981547000103,28297023,25160384707
82690998072607,Maria Cecília Pereira,03981547000103,28297023,94073852132
82690998072607,Maria Cecília Pereira,03981547000103,28297023,49326780538
36090341272776,Sr. Lucas Gabriel Guerra,91037658000123,85960820,79450631875
36090341272776,Sr. Lucas Gabriel Guerra,91037658000123,85960820,38701965484
36090341272776,Sr. Lucas Gabriel Guerra,91037658000123,85960820,52317804997
29407606653212,Sr. Gustavo Carvalho,96801723000169,95145311,62193740534
29407606653212,Sr. Gustavo Carvalho,96801723000169,95145311,46180953260
82343827628377,Davi Lucas Carvalho,92341780000151,74153341,01763594270
82343827628377,Davi Lucas Carvalho,92341780000151,74153341,09175832640
82343827628377,Davi Lucas Carvalho,92341780000151,74153341,93750641820
82343827628377,Davi Lucas Carvalho,92341780000151,74153341,59670231868
82343827628377,Davi Lucas Carvalho,92341780000151,74153341,37829461546
89624631644902,Josué Cavalcante,89062374000145,96864967,19208356442
89624631644902,Josué Cavalcante,89062374000145,96864967,73205164970
26430656545392,Benjamim Viana,96435081000121,53775580,10928645398
26430656545392,Benjamim Viana,96435081000121,53775580,72560493152
26430656545392,Benjamim Viana,96435081000121,53775580,67089251411
26430656545392,Benjamim Viana,96435081000121,53775580,32965014799
26430656545392,Benjamim Viana,96435081000121,53775580,69753402856
31789917686630,Cauã Fonseca,90275643000130,73409799,75689423092
31789917686630,Cauã Fonseca,90275643000130,73409799,27164853053
31789917686630,Cauã Fonseca,90275643000130,73409799,95082476300
95408785153040,Helena Sá,96351048000113,10181795,79628051458
95408785153040,Helena Sá,96351048000113,10181795,03648519298
41071606267273,Ana Vitória Correia,47859061000172,00967088,62349850170
41071606267273,Ana Vitória Correia,47859061000172,00967088,38540679256
25620899930464,Luiz Henrique da Rosa,63704892000121,81965228,36075289429
25620899930464,Luiz Henrique da Rosa,63704892000121,81965228,67214903580
72997877717035,Ana Laura Costa,69231075000180,42022272,02356198415
72997877717035,Ana Laura Costa,69231075000180,42022272,98457623010
91669736362659,Apollo Borges,74315069000140,14782050,75142936809
91669736362659,Apollo Borges,74315069000140,14782050,85607941310
80696408795348,Srta. Cecilia Abreu,48165372000102,05103464,40283176571
80696408795348,Srta. Cecilia Abreu,48165372000102,05103464,27149630561
61309618194866,Alana Fernandes,25401638000165,14045494,04538967157
61309618194866,Alana Fernandes,25401638000165,14045494,18473605993
61309618194866,Alana Fernandes,25401638000165,14045494,01327694840
76480132010709,Felipe Carvalho,56179083000182,82393477,31698540205
76480132010709,Felipe Carvalho,56179083000182,82393477,58471360993
82141451957197,Isabel Moraes,95807362000103,65900047,27196530802
82141451957197,Isabel Moraes,95807362000103,65900047,28653970410
97309920447887,Lavínia da Paz,83605794000144,07321805,39527148014
97309920447887,Lavínia da Paz,83605794000144,07321805,20783465947
26365442539853,Anna Liz Mendonça,81963420000175,76460032,68123940769
26365442539853,Anna Liz Mendonça,81963420000175,76460032,36082459792
81057084198657,João Lucas Nascimento,42905317000117,10444626,27601539407
81057084198657,João Lucas Nascimento,42905317000117,10444626,75396482109
81057084198657,João Lucas Nascimento,42905317000117,10444626,07258394656
81057084198657,João Lucas Nascimento,42905317000117,10444626,68794035229
81057084198657,João Lucas Nascimento,42905317000117,10444626,53081764939
81057084198657,João Lucas Nascimento,42905317000117,10444626,50348196270
81057084198657,João Lucas Nascimento,42905317000117,10444626,86217590395
81057084198657,João Lucas Nascimento,42905317000117,10444626,31287594646
46388459833996,Maysa Rezende,24916053000115,60043367,29806317521
46388459833996,Maysa Rezende,24916053000115,60043367,64958372083
46388459833996,Maysa Rezende,24916053000115,60043367,91276450370
46388459833996,Maysa Rezende,24916053000115,60043367,63102489796
85198256682322,Maria Laura Siqueira,10284359000191,06109859,14932750625
85198256682322,Maria Laura Siqueira,10284359000191,06109859,78263015480
55892592412944,Sr. Benjamim Santos,92147065000182,85617818,12970843579
55892592412944,Sr. Benjamim Santos,92147065000182,85617818,68714092549
55892592412944,Sr. Benjamim Santos,92147065000182,85617818,04538276162
55892592412944,Sr. Benjamim Santos,92147065000182,85617818,01437985610
55892592412944,Sr. Benjamim Santos,92147065000182,85617818,20783465947
55892592412944,Sr. Benjamim Santos,92147065000182,85617818,46597032829
55892592412944,Sr. Benjamim Santos,92147065000182,85617818,80529761386
55892592412944,Sr. Benjamim Santos,92147065000182,85617818,62135498700
27450513704496,Bianca Monteiro,02734986000159,04621778,29465173061
27450513704496,Bianca Monteiro,02734986000159,04621778,01629753840
27450513704496,Bianca Monteiro,02734986000159,04621778,97026315803
92483969040832,Emanuel da Paz,84065319000195,20548242,92784103650
92483969040832,Emanuel da Paz,84065319000195,20548242,98136270422
96187661258188,Thales Ramos,19324087000180,48631374,71495632016
96187661258188,Thales Ramos,19324087000180,48631374,17562830959
96187661258188,Thales Ramos,19324087000180,48631374,42631587090
66156192655172,Kevin Rodrigues,92631458000167,26692785,69504381251
66156192655172,Kevin Rodrigues,92631458000167,26692785,62017438553
66156192655172,Kevin Rodrigues,92631458000167,26692785,83750196400
66156192655172,Kevin Rodrigues,92631458000167,26692785,97243018696
15446830269298,Vinícius Ramos,38567409000167,54292347,92485731004
15446830269298,Vinícius Ramos,38567409000167,54292347,18549703648
15446830269298,Vinícius Ramos,38567409000167,54292347,23056749883
73583492470311,Benicio Fernandes,41062953000161,36627448,84231957673
73583492470311,Benicio Fernandes,41062953000161,36627448,54627938128
73583492470311,Benicio Fernandes,41062953000161,36627448,15026843905
40757315583253,Larissa Alves,05362197000122,07848707,71948263564
40757315583253,Larissa Alves,05362197000122,07848707,48927310560
40757315583253,Larissa Alves,05362197000122,07848707,59814602370
56159936379257,Carlos Eduardo Sampaio,13429086000114,82718092,09425876347
56159936379257,Carlos Eduardo Sampaio,13429086000114,82718092,41598736000
56159936379257,Carlos Eduardo Sampaio,13429086000114,82718092,27054398629
10219175122358,Maysa Pastor,84702359000109,52242619,57941360810
10219175122358,Maysa Pastor,84702359000109,52242619,60342157906
69719232355381,Carlos Eduardo Vieira,71690584000112,46825141,57436180975
69719232355381,Carlos Eduardo Vieira,71690584000112,46825141,08427956185
99408848275911,Yago Cavalcante,78460392000169,29206048,12586470362
99408848275911,Yago Cavalcante,78460392000169,29206048,62135498700
89131012680658,Amanda Sousa,14985267000190,35316012,62719580449
89131012680658,Amanda Sousa,14985267000190,35316012,16975432864
35902148673929,Laís Andrade,21856037000196,00436386,78093156259
35902148673929,Laís Andrade,21856037000196,00436386,76195842346
74603075975716,Manuela Cavalcanti,71629048000101,99399483,50186493720
74603075975716,Manuela Cavalcanti,71629048000101,99399483,29471035805
97041202061868,Emanuelly da Cunha,29180365000127,94048970,60395218721
97041202061868,Emanuelly da Cunha,29180365000127,94048970,12586470362
97041202061868,Emanuelly da Cunha,29180365000127,94048970,14365970801
74374658307002,Davi Miguel Rocha,48713692000141,00328086,39527148014
74374658307002,Davi Miguel Rocha,48713692000141,00328086,14027635906
76865564411788,Luigi Abreu,62198370000132,55839634,08615934215
76865564411788,Luigi Abreu,62198370000132,55839634,64820375938
18702366539804,Miguel Sales,48375961000107,18411688,10857634984
18702366539804,Miguel Sales,48375961000107,18411688,18075946375
20129299108120,Heloísa Porto,47198065000157,70302276,52130976425
20129299108120,Heloísa Porto,47198065000157,70302276,59174836200
20129299108120,Heloísa Porto,47198065000157,70302276,31860745920
20129299108120,Heloísa Porto,47198065000157,70302276,80536471975
74341900788564,Thomas da Cunha,05167289000151,45225183,48360972150
74341900788564,Thomas da Cunha,05167289000151,45225183,75039142897
74341900788564,Thomas da Cunha,05167289000151,45225183,82197603540
37604939353763,Luara Barbosa,89156703000117,70623140,64308521726
37604939353763,Luara Barbosa,89156703000117,70623140,21397480696
37604939353763,Luara Barbosa,89156703000117,70623140,58091362498
47382607195949,Apollo Ferreira,91758302000189,42017730,13092654706
47382607195949,Apollo Ferreira,91758302000189,42017730,31479508241
94197405089933,Olívia da Rosa,20947385000106,99426671,90462753107
94197405089933,Olívia da Rosa,20947385000106,99426671,86209345700
68695778948492,Srta. Manuella Dias,93251876000191,31391317,32179650868
68695778948492,Srta. Manuella Dias,93251876000191,31391317,59174836200
83221551183904,Julia Macedo,48325069000111,07132047,68390251795
83221551183904,Julia Macedo,48325069000111,07132047,37581206408
83221551183904,Julia Macedo,48325069000111,07132047,81523490624
83221551183904,Julia Macedo,48325069000111,07132047,90157648320
34102589336899,Fernanda Sampaio,07452831000143,45701933,81704526353
34102589336899,Fernanda Sampaio,07452831000143,45701933,80537296140
34102589336899,Fernanda Sampaio,07452831000143,45701933,48107569202
13455347272845,Sra. Aurora Monteiro,59680143000134,40222341,14790582388
13455347272845,Sra. Aurora Monteiro,59680143000134,40222341,56432809738
13455347272845,Sra. Aurora Monteiro,59680143000134,40222341,68209573438
13455347272845,Sra. Aurora Monteiro,59680143000134,40222341,79843652029
13455347272845,Sra. Aurora Monteiro,59680143000134,40222341,95706432856
54409694622850,Marcelo Oliveira,42369075000194,15930020,74032681562
54409694622850,Marcelo Oliveira,42369075000194,15930020,02356198415
54409694622850,Marcelo Oliveira,42369075000194,15930020,69538210786
64777166739536,Srta. Maria Vitória Moraes,01396752000186,88270956,27904361850
64777166739536,Srta. Maria Vitória Moraes,01396752000186,88270956,81492035750
24061241952052,Davi Miguel Nascimento,34976210000131,22974772,01327694840
24061241952052,Davi Miguel Nascimento,34976210000131,22974772,16839024598
41832097915903,Bryan Fonseca,75061293000116,93670955,02945731606
41832097915903,Bryan Fonseca,75061293000116,93670955,60173584993
41832097915903,Bryan Fonseca,75061293000116,93670955,43709612543
96682366762493,Marina Aragão,48173956000111,65299677,14902876558
96682366762493,Marina Aragão,48173956000111,65299677,43628701562
96682366762493,Marina Aragão,48173956000111,65299677,79568234128
96682366762493,Marina Aragão,48173956000111,65299677,63278540107
96682366762493,Marina Aragão,48173956000111,65299677,50986412767
85190640257620,Oliver Abreu,85314926000104,39334562,87410253690
85190640257620,Oliver Abreu,85314926000104,39334562,59174836200
11827188985641,Gabrielly Nunes,93201678000113,35490873,37649150216
11827188985641,Gabrielly Nunes,93201678000113,35490873,19208356442
98455009964939,Antony Martins,49328016000117,43101675,43709612543
98455009964939,Antony Martins,49328016000117,43101675,35284910788
98455009964939,Antony Martins,49328016000117,43101675,47065198375
84674068229188,Arthur Miguel Cunha,51073698000106,97883467,18473605993
84674068229188,Arthur Miguel Cunha,51073698000106,97883467,60395714893
84674068229188,Arthur Miguel Cunha,51073698000106,97883467,65039142889
84674068229188,Arthur Miguel Cunha,51073698000106,97883467,71495632016
84674068229188,Arthur Miguel Cunha,51073698000106,97883467,57418263007
84674068229188,Arthur Miguel Cunha,51073698000106,97883467,12970843579
83424093635869,Isadora Pinto,31947520000130,17917751,47518036975
83424093635869,Isadora Pinto,31947520000130,17917751,43791560280
83424093635869,Isadora Pinto,31947520000130,17917751,81036459748
59910255554254,Yasmin Camargo,43162705000118,48835665,78263015480
59910255554254,Yasmin Camargo,43162705000118,48835665,60278345956
13973650170104,Ana Luiza Câmara,07694153000125,71561263,75640839139
13973650170104,Ana Luiza Câmara,07694153000125,71561263,52634071906
70555584081238,Benjamin Viana,42759061000187,08685587,30821765930
70555584081238,Benjamin Viana,42759061000187,08685587,57418263007
70555584081238,Benjamin Viana,42759061000187,08685587,82159630489
70555584081238,Benjamin Viana,42759061000187,08685587,08594127332
70555584081238,Benjamin Viana,42759061000187,08685587,52067483900
47628588958895,Theo Lopes,35487601000155,79206176,40162985711
47628588958895,Theo Lopes,35487601000155,79206176,34506789148
95574011950812,Renan Souza,90274183000126,12992906,63728510912
95574011950812,Renan Souza,90274183000126,12992906,42936017599
69969566196453,Henrique Castro,87310296000125,95612342,02513498615
69969566196453,Henrique Castro,87310296000125,95612342,07539162406
69969566196453,Henrique Castro,87310296000125,95612342,93670415270
80555571733553,Brayan Borges,09367124000184,06394817,79413852600
80555571733553,Brayan Borges,09367124000184,06394817,21340987678
29206456490644,Valentina Moura,85347610000119,86901841,45372801662
29206456490644,Valentina Moura,85347610000119,86901841,64318279022
67176696308062,Davi Lucca Silva,30159278000177,38851578,27164853053
67176696308062,Davi Lucca Silva,30159278000177,38851578,64871395057
38523519816671,Ana Vitória da Conceição,04293187000110,45734543,71625893086
38523519816671,Ana Vitória da Conceição,04293187000110,45734543,81475269382
